GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.1_1,Aksuskiy,,,Rayon,District,,KZ.AA.AK
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.2_1,Alakolskiy,Alakol'skiy,,Rayon,District,,KZ.AA.AL
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.3_1,Almaty (Alma-Ata),,,Rayon,District,,
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.4_1,Balkhashskiy,,,Rayon,District,,KZ.AA.BA
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.5_1,Enbekshikazakhskiy,,,Rayon,District,,KZ.AA.EN
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.6_1,Iliyskiy,,,Rayon,District,,KZ.AA.IL
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.7_1,Karasayskiy,Karasayskiy (Kaskelenskiy),,Rayon,District,,KZ.AA.KS
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.8_1,Karatal`skiy,Karatalskiy,,Rayon,District,,KZ.AA.KT
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.9_1,Kerbulakskiy,,,Rayon,District,,KZ.AA.KE
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.10_1,Koksuskiy,,,Rayon,District,,KZ.AA.KO
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.11_1,Panfilovskiy,,,Rayon,District,,KZ.AA.PA
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.12_1,Raiymbekskiy,Rayymbekskiy (Narynko'skiy),,Rayon,District,,KZ.AA.RA
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.13_1,Sarkandskiy,,,Rayon,District,,KZ.AA.SA
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.14_1,Taldyqorghan,Taldyqorghanskiy,,Maslikhat,Assembly,,KZ.AA.TQ
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.15_1,Talgarskiy,,,Rayon,District,,KZ.AA.TG
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.16_1,Uygurskiy,,,Rayon,District,,KZ.AA.UY
KAZ,Kazakhstan,KAZ.1_1,Almaty,,KAZ.1.17_1,Zhambylskiy,,,Rayon,District,,KZ.AA.ZH
KAZ,Kazakhstan,KAZ.2_1,Aqmola,,KAZ.2.1_1,Akkol`skiy,Akkol'skiy (Alekseevskiy),,Rayon,District,,KZ.AM.AK
